,forest,hdi,inflation,infant_mortality,gdp,gni,population,unemployment,country_id
forest,1.0,0.3714990091039825,-0.09691825079110845,-0.43499174551088277,0.10722953800638185,0.21761361621483943,0.7061545445175973,0.501980799179716,47.0
forest,1.0,-0.6438509608130635,-0.581889539315252,0.9137354302776017,-0.0597101783344623,-0.09829017079856775,-0.3825460246862056,-0.39710233535903194,212.0
forest,1.0,-0.24704248341312937,0.540287507354745,0.5273946300753622,-0.21416875861984574,-0.3710433802541343,0.8151510790363425,0.27589605209746954,48.0
forest,1.0,-0.2510186204346774,-0.8647567303824572,0.4939975029372666,-0.31254826888060355,0.0043229567595277,-0.8347366470559385,0.6778850312143057,198.0
forest,1.0,0.24982179798425222,0.6709785862004977,-0.3503283682179122,0.22703769565081583,0.12227444403208368,0.9793984662164494,-0.19001801245396652,91.0
forest,1.0,0.19422300890548508,-0.3900671348811943,-0.773341701476901,-0.23137876391390363,-0.28210444507960575,-0.0032107754401785476,0.6428155090463874,49.0
forest,1.0,0.3881228831639235,0.7581715291241237,-0.03956724895156838,0.06561851334323915,0.13767314044836637,-0.4750415496957664,-0.7951226801696876,105.0
forest,1.0,0.051030559520249416,0.12093478880479236,-0.0098472266801518,0.1255800989196915,0.18708256086496333,0.8892588081214038,-0.4742650525836283,74.0
forest,1.0,0.21708008349424374,0.8151359335831536,-0.6047212201611218,0.15993508262738373,0.015862517549253524,0.9070494369081855,-0.8735943007734321,92.0
forest,1.0,-0.40855499194909134,-0.9181676018819276,0.17803550540191698,-0.2833276170496233,-0.19882796616295068,-0.40344782440398774,-0.39390006424945834,169.0
forest,1.0,-0.30259074243953155,0.054182643766621956,0.6933063358930418,-0.07238390437143549,-0.029366920469880847,0.26018247636190905,0.18946779056563037,184.0
forest,1.0,-0.35872722074419994,-0.4281935382965197,-0.5801538262367871,0.15886569456165586,0.23297963703269217,-0.98222726264662,0.007214598278806871,142.0
forest,1.0,0.005606534470971396,-0.4813132714929708,0.23813919776569753,0.11882751809179685,0.17517726483296853,-0.033265444080215804,-0.9156798187836109,130.0
forest,1.0,-0.3068499741866115,-0.5861745019050155,-0.6055749217629958,-0.4452679299528034,-0.19310829788203807,-0.02620490731715678,0.428170256811312,153.0
forest,1.0,-0.32585376577061953,-0.4093276161161162,0.15859337164402867,-0.10718368298096743,-0.20550162767777333,0.23655441903283025,-0.3355411782234137,185.0
forest,1.0,-0.2538718855818602,-0.5416387052552704,0.14200007944791387,0.1536560590967105,0.07782563477013708,-0.5155603391981619,-0.055822404037316566,154.0
forest,1.0,-0.832602466172442,-0.83697823663028,0.849530156470454,-0.08331845361223063,-0.22863428847035525,-0.1118588184695087,-0.09769794116394429,200.0
forest,1.0,-0.28694901491392494,-0.48056228202363616,0.16345960822992125,-0.23719152537359056,-0.39595851046627456,-0.8187181080644932,-0.6911765627069324,75.0
forest,1.0,-0.07213021945624894,0.16545410583819178,0.4855180879817054,0.0795087704451252,0.0790254253301723,-0.6213656887637852,-0.18408989667674056,125.0
forest,,,,,,,,,155.0
forest,1.0,-0.23326448102943445,-0.12115259754742996,0.3630175318560258,-0.42843328934174024,-0.0805013500543723,0.2608903972868645,-0.418660137734088,117.0
forest,1.0,-0.34988586334375393,0.426687078833143,-0.29270943251827597,-0.02456522592044086,-0.018621253713860083,0.6270680072589365,-0.05448686883181711,14.0
forest,1.0,-0.1302002502442628,0.15160879762193705,0.30099468337097324,-0.010064438140398086,-0.23112926143183185,0.43413888513232407,0.653471821057549,156.0
forest,,,,,,,,,118.0
forest,,,,,,,,,131.0
forest,1.0,0.05465489378562575,-0.324772648608436,-0.6369901325451068,0.22449341151560698,0.19841426267662707,0.19181097346176873,-0.28804426959627005,187.0
forest,,,,,,,,,40.0
forest,,,,,,,,,2.0
forest,1.0,-0.03339481519796795,-0.3643507037662474,-0.17416403354588106,0.14655136931204685,0.2139627056344797,-0.41198628983522667,-0.3284132721544185,188.0
forest,,,,,,,,,214.0
forest,1.0,0.016921100134275658,0.43216681635293686,0.154839337746657,-0.15299429288130387,-0.15258077166487355,-0.6620815150775119,0.5707135255547724,16.0
forest,1.0,0.40990110514044836,0.5127718504108929,-0.6674846476725703,0.03177419453937728,0.016723988196346146,0.8276546849686637,0.036469462843428536,132.0
forest,,,,,,,,,52.0
forest,1.0,-0.27912894861822385,-0.4077319461120967,0.29614946776271556,-0.172158753438086,-0.21480268475547631,0.8595427311812845,-0.8568399826981101,201.0
forest,1.0,0.46207414837299854,0.5099083809506917,0.7099569242768887,-0.004801112101909038,0.02438580440903626,-0.721595494733723,-0.5065255309660274,53.0
forest,1.0,0.16451960204499208,0.532827296780992,-0.49884750143993684,0.11773340436070363,0.06053902100333815,0.9286159969050571,0.8827886891865304,17.0
forest,1.0,0.13376743370028293,-0.16002317393890017,-0.9595761963321809,0.135779687024754,0.13630125300265056,0.9056161486565697,-0.5699766337275111,93.0
forest,1.0,-0.20508386535225093,0.37795891515878965,0.43926517152850014,-0.3432052034909834,-0.43524406458040205,-0.804219388996128,0.3452163478470203,126.0
forest,1.0,-0.4564853955023358,-0.5840001240529841,0.11627364645418799,-0.06523270589518793,-0.08910154367609649,-0.350247491144382,-0.9390132524386771,3.0
forest,1.0,0.38763230269082743,-0.5188242609342626,-0.24399851303535222,-0.30483046501555044,-0.2588396266508586,0.3859617707350621,-0.9393939903875758,19.0
forest,1.0,0.45388722952042654,0.565834962652856,0.16154638711391914,-0.19886690998685735,-0.11741316206732015,0.8886778493112668,-0.32362583695833635,133.0
forest,1.0,-0.5033529131052346,0.719032897263999,0.1626365119218944,0.17764575451276682,0.16140974214582304,0.5581530928702376,0.11344594397802298,41.0
forest,1.0,-0.10227950445746235,-0.2978256769645835,0.3932820436751065,0.36303058285168527,0.5547538616638714,-0.8033714286615925,0.5048850538317495,145.0
forest,1.0,-0.1641940055271217,-0.4753039991293925,0.35721061325868264,-0.07963282734747323,-0.12900480956512891,-0.5129120367761946,-0.3068010727931126,216.0
